;Voters;voting_before;voting_normally;voting_outside;Invalid;Valid;Rodina;Kommunisty_rosii;Pensy_za_spravedlivost;Edinaya_rasiya;Green;Grazhd_Platforma;ldpr;Parnas;Rosta;Grazhd_Sila;Yabloko;kprf;Patrioty;Sprav_rasiya
PEC ¹2315;2459;0;754;18;18;754;4.66%;1.81%;2.85%;39.38%;2.46%;0.13%;13.73%;1.81%;3.89%;0.13%;5.96%;12.56%;0.78%;7.51%
PEC ¹2316;2550;0;783;13;11;783;3.53%;2.77%;3.78%;39.55%;2.02%;0.13%;14.23%;1.13%;4.41%;0.25%;6.17%;11.84%;0.76%;8.06%
PEC ¹2317;2035;0;707;12;16;703;3.20%;1.67%;3.34%;41.72%;1.25%;0.42%;15.16%;2.50%;1.81%;0.28%;4.73%;11.96%;0.42%;9.32%
PEC ¹2318;2061;0;669;11;10;670;4.12%;2.65%;3.24%;39.41%;1.62%;0.15%;11.76%;2.50%;5.00%;0.29%;3.38%;16.32%;0.88%;7.21%
PEC ¹2319;2457;0;815;21;14;819;3.72%;2.28%;2.76%;33.01%;1.92%;0.48%;12.00%;3.84%;6.24%;0.48%;9.36%;12.97%;0.96%;8.28%
PEC ¹2320;2097;0;641;28;20;649;3.89%;3.44%;2.69%;34.83%;2.39%;0.15%;12.26%;2.39%;2.84%;0.15%;10.31%;15.25%;0.60%;5.83%
PEC ¹2321;2264;0;740;14;17;734;3.46%;2.13%;3.73%;39.28%;2.40%;0.27%;12.52%;1.60%;2.53%;0.27%;6.92%;13.58%;0.40%;8.66%
PEC ¹2322;2253;0;794;13;15;779;3.90%;1.51%;2.77%;41.18%;1.64%;0.25%;15.99%;2.90%;2.52%;0.76%;5.04%;14.11%;0.25%;5.29%
PEC ¹2323;2563;0;844;8;7;837;4.27%;1.66%;2.13%;35.78%;2.01%;0.12%;13.39%;2.61%;4.15%;0.47%;11.61%;13.63%;1.18%;6.16%
PEC ¹2324;2118;0;688;13;14;685;5.72%;2.43%;3.15%;30.62%;2.00%;0.29%;14.88%;3.15%;5.01%;0.29%;9.16%;15.02%;0.86%;5.44%
PEC ¹2325;2153;0;708;17;13;712;4.69%;0.69%;3.45%;38.48%;2.21%;0.41%;11.86%;2.62%;5.24%;0.41%;6.62%;15.17%;0.55%;5.79%
PEC ¹2326;2256;0;855;10;15;850;3.24%;2.20%;4.16%;33.41%;1.97%;0.23%;13.64%;2.20%;3.47%;0.46%;7.75%;17.23%;1.50%;6.82%
PEC ¹2327;2271;0;767;6;15;755;3.12%;2.47%;2.60%;33.12%;2.08%;0.13%;16.62%;2.86%;4.42%;0.52%;6.62%;17.01%;0.52%;5.97%
PEC ¹2328;2153;0;718;13;20;711;3.01%;2.46%;3.15%;40.36%;0.96%;0.14%;13.82%;3.28%;3.83%;0.00%;6.02%;13.82%;0.27%;6.16%
PEC ¹2329;1975;0;632;6;7;631;3.76%;3.45%;3.61%;36.21%;2.82%;0.31%;13.95%;1.41%;4.23%;0.16%;6.43%;16.14%;0.31%;6.11%
PEC ¹2330;2057;0;654;19;20;653;2.23%;2.67%;4.16%;36.55%;2.38%;0.59%;15.16%;1.93%;2.53%;0.30%;6.69%;15.16%;0.89%;5.79%
PEC ¹2331;1691;0;491;10;8;493;3.39%;3.19%;4.39%;39.32%;2.59%;0.60%;14.77%;1.80%;2.79%;0.60%;6.39%;11.58%;0.60%;6.39%
PEC ¹2332;2222;0;727;5;10;722;4.92%;1.64%;2.19%;32.65%;1.78%;0.68%;15.16%;5.87%;6.01%;0.14%;10.93%;11.75%;1.23%;3.69%
PEC ¹2333;735;0;216;6;3;217;1.36%;0.45%;5.91%;38.18%;0.45%;0.91%;15.45%;2.27%;0.45%;0.00%;7.73%;17.73%;0.91%;6.82%
PEC ¹2334;2318;0;671;18;19;668;3.93%;2.33%;2.91%;38.14%;1.46%;0.29%;13.68%;2.33%;3.78%;0.15%;7.13%;13.83%;1.02%;6.26%
PEC ¹2335;2374;0;761;22;14;769;4.09%;1.66%;3.07%;42.02%;1.79%;0.38%;16.48%;1.28%;3.32%;0.00%;5.24%;11.37%;0.77%;6.77%
PEC ¹2336;2141;0;687;15;23;679;2.85%;2.14%;2.85%;38.75%;1.57%;0.28%;16.81%;2.56%;2.56%;0.14%;8.83%;12.11%;0.71%;4.56%
PEC ¹2337;2510;0;758;12;15;755;4.16%;2.08%;1.30%;37.14%;2.08%;0.13%;10.78%;3.77%;4.16%;0.65%;12.60%;14.16%;1.17%;3.90%
PEC ¹2338;2463;0;774;20;20;773;3.66%;1.01%;2.40%;33.29%;1.64%;0.63%;15.76%;3.66%;4.67%;0.63%;9.84%;14.25%;1.13%;4.92%
PEC ¹2339;2464;0;809;18;15;812;2.30%;2.66%;3.39%;39.90%;1.57%;0.36%;14.99%;2.66%;1.69%;0.24%;6.17%;14.51%;0.60%;7.13%
PEC ¹2340;2262;0;720;30;16;733;4.27%;2.94%;1.87%;38.45%;1.47%;0.00%;12.68%;1.07%;3.07%;0.67%;5.87%;16.15%;0.27%;9.08%
PEC ¹2341;2548;0;765;4;10;759;4.29%;2.47%;2.60%;38.10%;2.60%;0.13%;9.75%;2.73%;4.16%;0.52%;8.58%;17.17%;0.65%;4.94%
PEC ¹2416;2718;0;847;4;18;833;3.53%;1.65%;3.53%;42.07%;1.06%;0.24%;19.98%;0.82%;1.88%;0.24%;3.29%;12.10%;0.71%;6.82%
PEC ¹2417;2749;0;842;8;17;833;4.82%;3.41%;2.82%;37.65%;1.29%;0.24%;17.88%;1.65%;2.24%;0.35%;3.65%;12.24%;1.29%;8.47%
PEC ¹2418;2087;0;708;4;4;708;4.78%;1.83%;4.07%;38.20%;0.98%;0.00%;19.52%;2.39%;2.53%;0.00%;3.65%;14.33%;0.84%;6.32%
PEC ¹2419;2724;0;966;13;23;956;3.88%;1.74%;2.45%;38.71%;1.12%;0.31%;15.73%;2.45%;3.17%;0.31%;3.68%;15.22%;1.84%;7.05%
PEC ¹2420;2417;0;645;15;13;647;1.67%;2.27%;4.85%;40.45%;1.36%;0.61%;19.70%;2.73%;2.27%;0.15%;5.15%;8.79%;1.67%;6.36%
PEC ¹2421;2667;0;703;7;9;700;2.54%;1.97%;3.81%;40.48%;1.13%;0.28%;18.19%;2.96%;2.68%;0.28%;2.96%;12.55%;0.42%;8.46%
PEC ¹2422;2685;0;620;5;11;610;2.74%;1.61%;2.09%;40.58%;2.74%;0.32%;19.32%;1.61%;1.93%;0.00%;3.38%;13.04%;0.48%;8.37%
PEC ¹2423;1897;0;526;42;13;555;2.82%;2.46%;3.17%;41.73%;0.53%;0.18%;18.66%;1.06%;3.17%;0.00%;2.99%;15.14%;0.53%;5.28%
PEC ¹2424;2668;0;858;23;16;864;3.18%;2.50%;2.84%;42.95%;1.48%;0.23%;16.59%;1.82%;1.93%;0.34%;3.98%;13.30%;0.68%;6.36%
PEC ¹2425;2528;0;786;20;10;776;4.45%;3.05%;1.91%;40.33%;2.16%;0.38%;13.87%;3.44%;3.56%;0.64%;4.83%;12.47%;0.38%;7.25%
PEC ¹2426;2497;0;780;40;12;808;2.32%;1.95%;3.66%;42.56%;1.59%;0.24%;15.12%;1.59%;1.83%;0.24%;3.90%;14.51%;0.37%;8.66%
PEC ¹2427;2383;0;694;61;12;743;2.65%;2.91%;3.44%;38.94%;1.46%;0.26%;16.95%;1.85%;2.91%;0.40%;6.62%;11.66%;0.40%;7.95%
PEC ¹2428;2693;0;756;15;13;758;2.98%;1.43%;3.89%;36.84%;1.56%;0.26%;16.99%;1.69%;3.76%;0.78%;4.67%;16.47%;0.91%;6.10%
PEC ¹2429;2887;0;705;16;11;710;2.77%;2.08%;2.77%;37.45%;0.97%;0.00%;18.59%;2.50%;3.47%;0.69%;4.58%;15.40%;0.83%;6.38%
PEC ¹2430;2742;0;746;11;12;743;3.84%;3.05%;4.11%;34.97%;2.12%;0.53%;19.07%;1.99%;2.65%;0.40%;5.83%;13.11%;1.19%;5.56%
PEC ¹2431;2327;0;647;22;30;639;4.04%;1.94%;2.24%;40.66%;1.64%;0.15%;16.29%;2.39%;2.39%;0.45%;7.03%;11.21%;0.90%;4.19%
PEC ¹2432;2695;0;861;7;7;854;3.72%;1.86%;3.25%;35.08%;2.21%;0.46%;11.15%;3.95%;4.88%;0.46%;11.61%;12.31%;0.58%;7.67%
PEC ¹2433;2516;0;807;8;7;808;4.42%;1.47%;2.82%;37.79%;2.70%;0.25%;12.52%;2.21%;4.91%;0.12%;7.73%;15.71%;0.37%;6.13%
PEC ¹2434;2679;0;824;4;8;820;3.26%;1.09%;3.26%;32.49%;2.66%;0.60%;15.46%;2.66%;4.83%;0.60%;11.47%;14.73%;0.36%;5.56%
PEC ¹2435;2611;0;791;11;16;786;3.12%;1.62%;1.75%;38.90%;1.75%;0.12%;15.21%;1.87%;3.74%;0.62%;8.73%;13.59%;0.87%;6.11%
PEC ¹2436;468;0;176;4;5;175;2.78%;1.11%;3.33%;35.00%;2.78%;0.56%;17.78%;1.11%;2.78%;0.00%;2.22%;16.11%;1.67%;10.00%
PEC ¹2437;2558;0;905;16;17;904;4.13%;2.39%;2.93%;38.00%;2.28%;0.43%;13.14%;2.28%;4.13%;0.33%;5.97%;14.44%;0.65%;7.06%
PEC ¹2438;2456;0;806;7;19;793;3.20%;2.83%;4.68%;33.13%;1.60%;0.62%;14.41%;3.33%;3.69%;0.37%;7.76%;15.02%;0.49%;6.53%
PEC ¹2439;2529;0;796;13;7;802;3.09%;1.85%;2.84%;36.22%;2.47%;0.62%;16.56%;3.58%;4.08%;0.12%;7.79%;13.47%;0.87%;5.56%
PEC ¹2440;2342;0;841;6;20;824;4.86%;1.30%;4.15%;33.65%;1.66%;0.24%;13.63%;3.08%;3.79%;0.12%;7.82%;17.06%;1.30%;4.98%
PEC ¹2441;2275;0;661;6;14;653;2.40%;1.80%;3.60%;37.93%;2.25%;0.45%;13.94%;2.99%;3.60%;0.45%;5.55%;14.09%;0.90%;7.95%
PEC ¹2442;2346;0;726;12;4;734;2.17%;2.85%;3.93%;37.67%;2.30%;0.41%;12.60%;2.03%;2.85%;0.27%;6.64%;18.02%;0.41%;7.32%
PEC ¹2443;2231;0;692;12;18;686;2.84%;1.56%;2.13%;43.75%;1.28%;0.99%;15.20%;1.99%;2.70%;0.00%;4.83%;11.65%;0.57%;7.95%
PEC ¹2444;2301;0;711;11;11;711;3.05%;2.35%;2.91%;34.35%;3.19%;0.83%;13.43%;2.22%;4.29%;0.42%;7.62%;15.24%;0.14%;8.45%
PEC ¹2445;2459;0;645;12;12;645;5.63%;1.98%;2.28%;32.57%;2.89%;0.46%;16.59%;2.13%;3.35%;0.00%;10.05%;11.57%;0.61%;8.07%
PEC ¹2446;2349;0;692;34;10;716;2.75%;1.93%;4.82%;38.71%;1.10%;0.55%;17.22%;1.24%;2.75%;0.14%;5.92%;12.53%;0.69%;8.26%
PEC ¹2447;2258;0;752;15;9;758;5.74%;1.43%;2.35%;35.85%;2.74%;0.39%;12.13%;3.52%;3.52%;0.13%;7.17%;14.99%;1.04%;7.82%
PEC ¹2448;2245;0;665;19;16;668;3.22%;1.75%;2.34%;38.30%;1.75%;0.58%;13.45%;2.34%;3.95%;0.58%;8.63%;13.60%;0.29%;6.87%
PEC ¹2449;2214;0;644;19;11;652;4.52%;3.47%;3.77%;34.84%;2.56%;1.06%;11.16%;2.26%;3.77%;0.45%;9.65%;15.69%;1.06%;4.07%
PEC ¹2450;2343;0;747;8;9;746;2.52%;2.12%;2.52%;31.66%;1.72%;0.53%;16.69%;1.85%;5.43%;0.26%;10.86%;15.10%;0.40%;7.15%
PEC ¹2451;2351;0;694;22;14;702;3.63%;2.65%;1.54%;31.56%;2.65%;0.42%;16.76%;2.93%;3.91%;0.14%;7.96%;15.78%;0.98%;7.12%
PEC ¹2452;2551;0;794;16;15;795;4.32%;1.48%;1.73%;38.52%;3.09%;0.37%;11.85%;2.96%;2.59%;0.99%;9.01%;13.33%;0.37%;7.53%
PEC ¹2453;2400;0;660;11;6;665;4.47%;2.68%;3.73%;38.90%;1.94%;0.45%;15.95%;3.43%;3.28%;0.00%;5.22%;12.37%;0.15%;6.56%
PEC ¹2454;2298;0;615;29;16;626;5.30%;1.71%;3.43%;36.45%;1.87%;0.00%;18.22%;2.18%;3.43%;0.62%;4.98%;14.80%;0.93%;3.58%
PEC ¹2455;2340;0;634;19;11;642;3.83%;3.22%;3.83%;37.98%;1.68%;0.15%;15.31%;3.06%;2.60%;0.15%;5.51%;13.63%;0.61%;6.74%
PEC ¹2456;2424;0;778;21;11;774;4.33%;2.17%;2.68%;36.18%;2.17%;0.38%;14.52%;2.04%;3.57%;0.38%;8.03%;13.89%;0.64%;7.64%
PEC ¹2457;2788;0;781;13;8;786;4.03%;1.51%;1.51%;37.78%;2.64%;0.38%;11.59%;3.90%;4.66%;0.63%;10.83%;12.72%;0.50%;6.30%
PEC ¹2458;2565;0;855;12;0;867;5.19%;1.85%;3.34%;32.30%;2.19%;0.12%;12.34%;3.81%;3.92%;0.35%;9.34%;17.42%;0.58%;7.27%
PEC ¹2459;2237;0;633;6;15;624;2.97%;2.03%;4.69%;37.56%;0.78%;0.63%;17.21%;3.44%;4.23%;0.31%;4.23%;12.99%;0.78%;5.79%
PEC ¹2460;2458;0;764;9;11;760;5.06%;3.63%;3.63%;32.94%;2.08%;0.65%;14.40%;3.11%;4.28%;0.26%;7.26%;12.32%;1.56%;7.39%
PEC ¹2461;2496;0;703;23;16;710;3.58%;1.93%;3.58%;38.02%;1.10%;0.14%;17.63%;3.86%;2.62%;0.41%;5.10%;10.74%;0.55%;8.54%
PEC ¹2462;1406;0;515;2;5;511;3.10%;2.71%;4.26%;35.85%;0.97%;0.39%;12.98%;3.10%;2.91%;0.19%;6.20%;18.41%;2.13%;5.81%
PEC ¹2463;1545;0;549;2;5;546;2.72%;2.54%;2.90%;33.76%;3.09%;0.18%;13.43%;3.63%;3.45%;0.36%;7.08%;16.88%;1.99%;7.08%
PEC ¹2464;2294;0;640;5;12;632;3.88%;1.86%;3.26%;38.98%;2.17%;0.16%;16.30%;2.33%;2.95%;0.31%;4.50%;12.58%;0.78%;8.07%
PEC ¹2465;2328;0;785;6;5;786;3.54%;2.28%;3.29%;34.89%;2.91%;0.25%;15.30%;2.28%;4.55%;0.00%;8.60%;13.40%;1.26%;6.83%
PEC ¹2466;2377;0;676;14;11;679;3.62%;2.03%;2.03%;44.20%;1.59%;1.01%;12.32%;2.61%;3.48%;0.43%;6.81%;11.01%;0.72%;6.52%
PEC ¹2467;2824;0;772;14;16;770;4.20%;2.04%;3.05%;36.39%;2.42%;0.76%;16.16%;4.07%;2.93%;0.00%;6.11%;12.09%;0.89%;6.87%
PEC ¹2468;2519;0;807;22;13;810;3.52%;1.34%;3.16%;39.00%;2.43%;0.12%;15.55%;2.07%;2.19%;0.24%;7.65%;13.49%;0.97%;6.68%
PEC ¹2469;2640;0;794;17;18;793;3.70%;1.97%;3.21%;42.05%;1.11%;0.49%;13.69%;2.71%;4.44%;0.86%;4.93%;9.25%;1.11%;8.26%
PEC ¹2470;2691;0;830;30;22;838;3.37%;1.51%;2.21%;36.86%;1.86%;0.23%;18.26%;3.14%;1.98%;0.12%;6.74%;12.79%;1.40%;6.98%
PEC ¹2471;2391;0;573;7;7;573;2.93%;1.55%;2.59%;38.97%;1.90%;0.34%;16.72%;2.93%;2.24%;0.17%;8.28%;11.55%;0.52%;8.10%
PEC ¹2472;2480;0;828;9;11;824;2.99%;2.28%;2.75%;39.40%;1.20%;0.36%;18.32%;2.99%;4.07%;0.00%;4.19%;12.46%;0.72%;6.95%
PEC ¹2473;2149;0;711;4;15;700;5.17%;2.24%;1.68%;37.20%;2.10%;0.28%;17.34%;2.66%;2.52%;0.42%;7.83%;12.17%;0.42%;5.87%
PEC ¹3422;1594;0;443;1;10;434;4.05%;1.80%;2.70%;32.43%;2.25%;0.45%;14.64%;5.63%;9.46%;0.23%;11.04%;7.88%;0.45%;4.73%
PEC ¹2474;2210;0;823;21;17;827;2.84%;2.37%;3.79%;27.61%;2.61%;0.36%;10.90%;3.79%;4.03%;0.12%;14.45%;15.64%;0.95%;8.53%
PEC ¹2475;2352;0;874;11;21;862;3.28%;2.27%;3.06%;33.07%;2.60%;0.23%;11.66%;2.49%;4.30%;0.34%;7.70%;17.67%;0.79%;8.15%
PEC ¹2476;2097;0;699;13;10;697;3.39%;2.12%;2.97%;32.39%;2.55%;0.28%;11.74%;3.82%;5.09%;0.00%;7.21%;16.41%;1.13%;9.48%
PEC ¹2477;652;0;247;0;5;242;3.64%;1.21%;1.62%;30.77%;2.43%;0.40%;10.93%;2.02%;7.69%;0.00%;13.77%;17.81%;0.40%;5.26%
PEC ¹2478;1088;0;330;9;10;329;2.65%;0.59%;3.83%;35.99%;2.36%;0.00%;14.16%;2.65%;2.06%;0.59%;8.85%;12.68%;0.00%;10.62%
PEC ¹2479;1483;0;479;10;15;465;2.08%;2.08%;3.13%;35.21%;2.29%;0.00%;12.50%;1.25%;3.13%;0.00%;10.21%;13.13%;1.04%;10.83%
PEC ¹2480;2297;0;734;20;23;728;2.93%;1.33%;2.26%;35.29%;1.86%;0.67%;14.65%;2.66%;3.86%;0.40%;6.26%;13.45%;0.80%;10.52%
PEC ¹2481;1629;0;632;16;8;640;3.40%;2.78%;3.40%;33.80%;1.23%;0.77%;11.73%;2.16%;5.71%;0.31%;8.18%;13.58%;1.85%;9.88%
PEC ¹2482;1685;0;579;7;16;570;4.27%;2.56%;3.58%;27.30%;1.88%;0.85%;11.43%;3.24%;4.78%;0.51%;12.63%;14.33%;0.00%;9.90%
PEC ¹2483;2542;0;852;16;10;850;4.19%;2.44%;3.14%;29.19%;2.44%;0.23%;13.02%;3.72%;3.26%;0.35%;14.42%;12.56%;0.58%;9.30%
PEC ¹2484;2336;0;825;14;15;821;2.75%;1.67%;2.03%;36.12%;1.20%;0.24%;10.89%;2.99%;2.99%;0.12%;11.12%;16.75%;0.72%;8.61%
PEC ¹2485;1769;0;504;13;5;512;2.32%;3.29%;3.29%;39.46%;1.35%;0.19%;11.99%;2.32%;2.90%;0.19%;7.16%;14.31%;0.58%;9.67%
PEC ¹2486;1747;0;586;23;8;599;1.81%;1.98%;3.29%;38.55%;3.95%;0.16%;11.86%;2.97%;4.28%;0.16%;9.06%;11.20%;0.99%;8.40%
PEC ¹2487;2729;0;928;21;49;882;1.61%;2.04%;3.87%;34.16%;1.40%;0.11%;13.75%;2.69%;3.97%;0.32%;8.38%;14.07%;0.21%;8.16%
PEC ¹2488;1596;0;521;8;16;512;4.92%;1.70%;3.22%;38.07%;2.08%;0.00%;14.20%;3.41%;1.52%;0.00%;5.87%;11.55%;0.76%;9.66%
PEC ¹2489;416;0;158;3;2;158;5.63%;1.88%;5.00%;29.38%;4.38%;0.63%;13.13%;0.63%;6.25%;0.00%;10.00%;10.63%;0.00%;11.25%
PEC ¹2490;2073;0;722;19;14;727;3.51%;1.48%;2.43%;30.36%;2.97%;0.54%;14.44%;4.32%;2.70%;0.00%;8.37%;17.68%;1.35%;7.96%
PEC ¹2491;1960;0;518;4;15;507;2.87%;2.11%;1.53%;40.42%;1.72%;0.57%;23.37%;1.15%;1.72%;0.38%;3.64%;12.45%;0.19%;4.98%
PEC ¹2492;1017;0;345;11;15;341;1.40%;2.25%;1.97%;39.61%;0.84%;0.00%;14.04%;2.53%;2.53%;0.00%;10.11%;12.36%;0.56%;7.58%
PEC ¹2493;1629;0;625;17;8;630;4.08%;0.47%;3.76%;32.92%;1.72%;0.16%;11.29%;3.13%;4.39%;0.78%;11.44%;15.52%;0.47%;8.62%
PEC ¹2494;2302;0;721;14;13;722;3.81%;1.90%;2.72%;38.50%;2.45%;0.00%;15.24%;2.18%;3.27%;0.14%;8.84%;11.43%;0.95%;6.80%
PEC ¹2495;1980;0;702;21;8;714;4.57%;2.35%;2.22%;27.29%;3.32%;0.14%;12.19%;5.26%;5.12%;0.14%;13.99%;13.71%;0.28%;8.31%
PEC ¹2496;2120;0;762;16;13;762;3.61%;1.94%;2.06%;32.00%;2.45%;0.13%;10.06%;2.84%;4.52%;0.00%;11.23%;17.81%;1.03%;8.65%
PEC ¹2497;1426;0;523;4;9;516;4.95%;2.10%;3.81%;35.43%;2.29%;0.19%;9.33%;2.10%;3.05%;0.57%;8.38%;18.48%;0.76%;6.86%
PEC ¹2498;1272;0;475;5;6;473;5.22%;1.46%;1.88%;29.85%;1.46%;0.21%;8.56%;4.18%;6.26%;0.42%;15.66%;15.24%;2.71%;5.64%
PEC ¹2499;1879;0;603;15;7;611;4.85%;1.13%;2.75%;37.54%;2.27%;0.49%;11.49%;3.24%;4.21%;0.00%;9.22%;14.24%;1.13%;6.31%
